Head,Relation,Original Tail,Tail Noun Chunks,Title,Article,Original Article Text
budget,implement,sound financial management and transparency in accordance with the principles of unity budgetary accuracy annuality equilibrium unit of account universality specification,"['sound financial management', 'transparency', 'accordance', 'principle', 'unity budgetary accuracy annuality equilibrium unit', 'account universality specification']",TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 6  Respect for budgetary principles ,"The budget shall be established and implemented in accordance with the principles of unity, budgetary accuracy, annuality, equilibrium, unit of account, universality, specification, sound financial management and transparency as set out in this Regulation. CHAPTER 1 Principles of unity and of budgetary accuracy"
budget,set,in this regulation,['regulation'],TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 6  Respect for budgetary principles ,"The budget shall be established and implemented in accordance with the principles of unity, budgetary accuracy, annuality, equilibrium, unit of account, universality, specification, sound financial management and transparency as set out in this Regulation. CHAPTER 1 Principles of unity and of budgetary accuracy"
budget,authorise,all revenue and expenditure considered necessary for the union,"['revenue', 'expenditure', 'union']",TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget ,"For each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the Union. It shall comprise: (a) the revenue and expenditure of the Union, including administrative expenditure resulting from the implementation of the provisions of the TEU relating to the common foreign and security policy (CFSP), and operational expenditure occasioned by implementation of those provisions where it is charged to the budget; (b) the revenue and expenditure of the European Atomic Energy Community. The budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. The appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with Article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of Article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years. Commitment appropriations shall cover the total cost of the legal commitments entered into during the financial year, subject to Article 114(2). Payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years. Paragraphs 2 and 3 of this Article shall not prevent appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point (b) of the first subparagraph of Article 112(1) and in Article 112(2)."
budget,contain,differentiated appropriations which consist of commitment appropriations and payment appropriations and,"['differentiate appropriation', 'commitment appropriation', 'payment appropriation']",TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget ,"For each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the Union. It shall comprise: (a) the revenue and expenditure of the Union, including administrative expenditure resulting from the implementation of the provisions of the TEU relating to the common foreign and security policy (CFSP), and operational expenditure occasioned by implementation of those provisions where it is charged to the budget; (b) the revenue and expenditure of the European Atomic Energy Community. The budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. The appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with Article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of Article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years. Commitment appropriations shall cover the total cost of the legal commitments entered into during the financial year, subject to Article 114(2). Payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years. Paragraphs 2 and 3 of this Article shall not prevent appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point (b) of the first subparagraph of Article 112(1) and in Article 112(2)."
appropriation authorise financial year,consist,of: appropriations provided in the budget including by amending budgets appropriations carried over from preceding financial years appropriations made available again in accordance with article 15 appropriations arising from prefinancing payments which have been repaid in accordance with point of article 12(4) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years,"['appropriation', 'budget', 'budget appropriation', 'financial year appropriation', 'accordance', 'article 15 appropriation', 'prefinance payment', 'accordance', 'point', 'article 124    appropriation', 'receipt', 'revenue', 'financial year', 'precede financial year']",TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget ,"For each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the Union. It shall comprise: (a) the revenue and expenditure of the Union, including administrative expenditure resulting from the implementation of the provisions of the TEU relating to the common foreign and security policy (CFSP), and operational expenditure occasioned by implementation of those provisions where it is charged to the budget; (b) the revenue and expenditure of the European Atomic Energy Community. The budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. The appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with Article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of Article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years. Commitment appropriations shall cover the total cost of the legal commitments entered into during the financial year, subject to Article 114(2). Payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years. Paragraphs 2 and 3 of this Article shall not prevent appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point (b) of the first subparagraph of Article 112(1) and in Article 112(2)."
commitment appropriation,cover,the total cost of the legal commitments entered into during the financial year subject to article 114(2,"['total cost', 'legal commitment', 'financial year', 'article']",TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget ,"For each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the Union. It shall comprise: (a) the revenue and expenditure of the Union, including administrative expenditure resulting from the implementation of the provisions of the TEU relating to the common foreign and security policy (CFSP), and operational expenditure occasioned by implementation of those provisions where it is charged to the budget; (b) the revenue and expenditure of the European Atomic Energy Community. The budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. The appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with Article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of Article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years. Commitment appropriations shall cover the total cost of the legal commitments entered into during the financial year, subject to Article 114(2). Payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years. Paragraphs 2 and 3 of this Article shall not prevent appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point (b) of the first subparagraph of Article 112(1) and in Article 112(2)."
payment appropriation,cover,payments made to honour the legal commitments entered into in the financial year or,"['payment', 'legal commitment', 'financial year']",TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget ,"For each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the Union. It shall comprise: (a) the revenue and expenditure of the Union, including administrative expenditure resulting from the implementation of the provisions of the TEU relating to the common foreign and security policy (CFSP), and operational expenditure occasioned by implementation of those provisions where it is charged to the budget; (b) the revenue and expenditure of the European Atomic Energy Community. The budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. The appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with Article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of Article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years. Commitment appropriations shall cover the total cost of the legal commitments entered into during the financial year, subject to Article 114(2). Payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years. Paragraphs 2 and 3 of this Article shall not prevent appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point (b) of the first subparagraph of Article 112(1) and in Article 112(2)."
paragraph 2 3 article,prevent,appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point of the first subparagraph of article 112(1,"['appropriation', 'budgetary commitment', 'annual instalment', 'point', 'subparagraph', 'article']",TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget ,"For each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the Union. It shall comprise: (a) the revenue and expenditure of the Union, including administrative expenditure resulting from the implementation of the provisions of the TEU relating to the common foreign and security policy (CFSP), and operational expenditure occasioned by implementation of those provisions where it is charged to the budget; (b) the revenue and expenditure of the European Atomic Energy Community. The budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. The appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with Article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of Article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years. Commitment appropriations shall cover the total cost of the legal commitments entered into during the financial year, subject to Article 114(2). Payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years. Paragraphs 2 and 3 of this Article shall not prevent appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point (b) of the first subparagraph of Article 112(1) and in Article 112(2)."
budgetary commitment,make,in annual instalments,['annual instalment'],TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget ,"For each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the Union. It shall comprise: (a) the revenue and expenditure of the Union, including administrative expenditure resulting from the implementation of the provisions of the TEU relating to the common foreign and security policy (CFSP), and operational expenditure occasioned by implementation of those provisions where it is charged to the budget; (b) the revenue and expenditure of the European Atomic Energy Community. The budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. The appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with Article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of Article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years. Commitment appropriations shall cover the total cost of the legal commitments entered into during the financial year, subject to Article 114(2). Payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years. Paragraphs 2 and 3 of this Article shall not prevent appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point (b) of the first subparagraph of Article 112(1) and in Article 112(2)."
budgetary commitment,provide,respectively for in point of the first subparagraph of article 112(1,"['point', 'subparagraph', 'article']",TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget ,"For each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the Union. It shall comprise: (a) the revenue and expenditure of the Union, including administrative expenditure resulting from the implementation of the provisions of the TEU relating to the common foreign and security policy (CFSP), and operational expenditure occasioned by implementation of those provisions where it is charged to the budget; (b) the revenue and expenditure of the European Atomic Energy Community. The budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. The appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with Article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of Article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years. Commitment appropriations shall cover the total cost of the legal commitments entered into during the financial year, subject to Article 114(2). Payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years. Paragraphs 2 and 3 of this Article shall not prevent appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point (b) of the first subparagraph of Article 112(1) and in Article 112(2)."
