Head,Relation,Original Tail,Tail Noun Chunks,Title,Article,Original Article Text
contract finance,respect,the principles of transparency proportionality equal treatment and nondiscrimination in part by the budget,"['principle', 'transparency proportionality equal treatment', 'nondiscrimination', 'budget']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope ,"All contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, equal treatment and non-discrimination. All contracts shall be put out to competition on the broadest possible basis, except when use is made of the procedure referred to in point (d) of Article 164(1). The estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose. The contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition. Contracting authorities shall not use framework contracts improperly or in such a way that their purpose or effect is to prevent, restrict or distort competition. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in procurement procedures financed in whole or in part from the budget. The rules on procurement laid down in this Regulation shall not apply to the activities of the JRC on behalf of third parties, with the exception of the principles of transparency and equal treatment."
contract,put,to competition on the broadest possible basis except when use is made of the procedure referred to in point of article 164(1,"['competition', 'broad possible basis', 'use', 'procedure', 'point', 'article']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope ,"All contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, equal treatment and non-discrimination. All contracts shall be put out to competition on the broadest possible basis, except when use is made of the procedure referred to in point (d) of Article 164(1). The estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose. The contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition. Contracting authorities shall not use framework contracts improperly or in such a way that their purpose or effect is to prevent, restrict or distort competition. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in procurement procedures financed in whole or in part from the budget. The rules on procurement laid down in this Regulation shall not apply to the activities of the JRC on behalf of third parties, with the exception of the principles of transparency and equal treatment."
use,make,when of the procedure referred to in point of article 164(1,"['procedure', 'point', 'article']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope ,"All contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, equal treatment and non-discrimination. All contracts shall be put out to competition on the broadest possible basis, except when use is made of the procedure referred to in point (d) of Article 164(1). The estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose. The contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition. Contracting authorities shall not use framework contracts improperly or in such a way that their purpose or effect is to prevent, restrict or distort competition. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in procurement procedures financed in whole or in part from the budget. The rules on procurement laid down in this Regulation shall not apply to the activities of the JRC on behalf of third parties, with the exception of the principles of transparency and equal treatment."
estimate value contract,determine,with a view to circumventing the applicable rules,"['view', 'applicable rule']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope ,"All contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, equal treatment and non-discrimination. All contracts shall be put out to competition on the broadest possible basis, except when use is made of the procedure referred to in point (d) of Article 164(1). The estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose. The contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition. Contracting authorities shall not use framework contracts improperly or in such a way that their purpose or effect is to prevent, restrict or distort competition. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in procurement procedures financed in whole or in part from the budget. The rules on procurement laid down in this Regulation shall not apply to the activities of the JRC on behalf of third parties, with the exception of the principles of transparency and equal treatment."
contract,split,for that purpose,['purpose'],TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope ,"All contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, equal treatment and non-discrimination. All contracts shall be put out to competition on the broadest possible basis, except when use is made of the procedure referred to in point (d) of Article 164(1). The estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose. The contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition. Contracting authorities shall not use framework contracts improperly or in such a way that their purpose or effect is to prevent, restrict or distort competition. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in procurement procedures financed in whole or in part from the budget. The rules on procurement laid down in this Regulation shall not apply to the activities of the JRC on behalf of third parties, with the exception of the principles of transparency and equal treatment."
contracting authority,divide,a contract into lots whenever appropriate with due regard to broad competition,"['contract', 'lot', 'regard', 'broad competition']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope ,"All contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, equal treatment and non-discrimination. All contracts shall be put out to competition on the broadest possible basis, except when use is made of the procedure referred to in point (d) of Article 164(1). The estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose. The contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition. Contracting authorities shall not use framework contracts improperly or in such a way that their purpose or effect is to prevent, restrict or distort competition. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in procurement procedures financed in whole or in part from the budget. The rules on procurement laid down in this Regulation shall not apply to the activities of the JRC on behalf of third parties, with the exception of the principles of transparency and equal treatment."
contracting authority,use,framework contracts that contracting authorities purpose or effect is to prevent restrict or distort competition improperly or in such a way,"['contracting authority', 'effect', 'restrict', 'competition', 'way']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope ,"All contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, equal treatment and non-discrimination. All contracts shall be put out to competition on the broadest possible basis, except when use is made of the procedure referred to in point (d) of Article 164(1). The estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose. The contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition. Contracting authorities shall not use framework contracts improperly or in such a way that their purpose or effect is to prevent, restrict or distort competition. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in procurement procedures financed in whole or in part from the budget. The rules on procurement laid down in this Regulation shall not apply to the activities of the JRC on behalf of third parties, with the exception of the principles of transparency and equal treatment."
contracting authority purpose effect,be,to prevent restrict or distort competition,['restrict distort competition'],TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope ,"All contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, equal treatment and non-discrimination. All contracts shall be put out to competition on the broadest possible basis, except when use is made of the procedure referred to in point (d) of Article 164(1). The estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose. The contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition. Contracting authorities shall not use framework contracts improperly or in such a way that their purpose or effect is to prevent, restrict or distort competition. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in procurement procedures financed in whole or in part from the budget. The rules on procurement laid down in this Regulation shall not apply to the activities of the JRC on behalf of third parties, with the exception of the principles of transparency and equal treatment."
rule procurement lay regulation,apply,to the activities of the jrc on behalf of third parties with the exception of the principles of transparency and equal treatment,"['activity', 'jrc', 'behalf', 'party', 'exception', 'principle', 'transparency', 'equal treatment']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope ,"All contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, equal treatment and non-discrimination. All contracts shall be put out to competition on the broadest possible basis, except when use is made of the procedure referred to in point (d) of Article 164(1). The estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose. The contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition. Contracting authorities shall not use framework contracts improperly or in such a way that their purpose or effect is to prevent, restrict or distort competition. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in procurement procedures financed in whole or in part from the budget. The rules on procurement laid down in this Regulation shall not apply to the activities of the JRC on behalf of third parties, with the exception of the principles of transparency and equal treatment."
detailed rule procurement,lay,in annex i to this regulation,"['annex', 'regulation']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 161  Annex on procurement and delegation of powers ,"Detailed rules on procurement are laid down in Annex I to this Regulation. To ensure that Union institutions, when awarding contracts on their own account, apply the same standards as those imposed on contracting authorities covered by Directives 2014/23/EU and 2014/24/EU, the Commission is empowered to adopt delegated acts in accordance with Article 269 of this Regulation to amend Annex I to this Regulation, in order to align that Annex to amendments to those Directives and to introduce related technical adjustments."
