Head,Relation,Original Tail,Tail Noun Chunks,Title,Article,Original Article Text
annual account union,prepare,for each financial year which shall run from 1 january to 31,"['financial year', '1 january']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 241  Structure of the accounts ,"The annual accounts of the Union shall be prepared for each financial year which shall run from 1 January to 31 December. Those accounts shall comprise the following: (a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in Article 80, the consolidation of the financial information contained in the financial statements of Union institutions, of Union bodies referred to in Article 70 and of other bodies meeting the accounting consolidation criteria; (b) the aggregated budget implementation reports which present the information contained in the budget implementation reports of Union institutions."
annual account union,comprise,the following: the consolidated financial statements which present in accordance with the accounting rules referred to in article 80 the consolidation of the financial information contained in the financial statements of union institutions of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions,"['follow', 'consolidated financial statement', 'accordance', 'accounting rule', 'article', 'consolidation', 'financial information', 'financial statement', 'union institution', 'union body', 'article', 'body', 'accounting consolidation criterion', 'aggregate budget implementation report', 'information', 'budget implementation report', 'union institution']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 241  Structure of the accounts ,"The annual accounts of the Union shall be prepared for each financial year which shall run from 1 January to 31 December. Those accounts shall comprise the following: (a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in Article 80, the consolidation of the financial information contained in the financial statements of Union institutions, of Union bodies referred to in Article 70 and of other bodies meeting the accounting consolidation criteria; (b) the aggregated budget implementation reports which present the information contained in the budget implementation reports of Union institutions."
entry account,base,on appropriate supporting documents in accordance with article 75,"['appropriate support document', 'accordance', 'article']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 242  Supporting documents ,Each entry in the accounts shall be based on appropriate supporting documents in accordance with Article 75.
financial statement,present,in millions of euro and in accordance with the accounting rules referred to in article 80,"['million', 'euro', 'accordance', 'accounting rule', 'article']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 243  Financial statements ,"The financial statements shall be presented in millions of euro and in accordance with the accounting rules referred to in Article 80 and shall be comprised of: (a) the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 December of the preceding financial year; (b) the statement of financial performance, which presents the economic result for the preceding financial year; (c) the cash-flow statement showing amounts collected and disbursed during the financial year and the final treasury position; (d) the statement of changes in net assets presenting an overview of the movements during the financial year in reserves and accumulated results. L 193/146  The notes to the financial statements shall supplement and comment on the information presented in the statements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting rules referred to in Article 80 and the internationally accepted accounting practice where such information is relevant to the activities of the Union. The notes shall contain at least the following information: (a) accounting principles, rules and methods; (b) explanatory notes supplying additional information not contained in the body of the financial statements, which is necessary for a fair presentation of the accounts. The accounting officer shall, after the close of the financial year and up to the date of transmission of the general accounts, make any adjustments which, without involving disbursement or collection in respect of that year, are necessary for a true and fair view of those accounts. S e c t i o n 2 B u d g e t i m p l e m e n t a t i o n r e p o r t s"
financial statement,comprise,of: the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 december of the preceding financial year the statement of financial performance which presents the economic result for the preceding financial year the cashflow statement showing amounts collected and disbursed during the preceding financial year and the final treasury position the statement of changes in net assets presenting an overview of the movements during the financial year in reserves and accumulated results,"['balance sheet', 'asset', 'liability', 'financial situation', '31 december', 'precede financial year', 'statement', 'financial performance', 'economic result', 'precede financial year', 'cashflow statement', 'amount', 'precede financial year', 'final treasury position', 'statement', 'change', 'net asset', 'overview', 'movement', 'financial year', 'reserve', 'accumulate result']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 243  Financial statements ,"The financial statements shall be presented in millions of euro and in accordance with the accounting rules referred to in Article 80 and shall be comprised of: (a) the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 December of the preceding financial year; (b) the statement of financial performance, which presents the economic result for the preceding financial year; (c) the cash-flow statement showing amounts collected and disbursed during the financial year and the final treasury position; (d) the statement of changes in net assets presenting an overview of the movements during the financial year in reserves and accumulated results. L 193/146  The notes to the financial statements shall supplement and comment on the information presented in the statements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting rules referred to in Article 80 and the internationally accepted accounting practice where such information is relevant to the activities of the Union. The notes shall contain at least the following information: (a) accounting principles, rules and methods; (b) explanatory notes supplying additional information not contained in the body of the financial statements, which is necessary for a fair presentation of the accounts. The accounting officer shall, after the close of the financial year and up to the date of transmission of the general accounts, make any adjustments which, without involving disbursement or collection in respect of that year, are necessary for a true and fair view of those accounts. S e c t i o n 2 B u d g e t i m p l e m e n t a t i o n r e p o r t s"
note financial statement,supply,all the additional information prescribed by the accounting rules referred to in article 80 and the internationally accepted accounting practice where such information is relevant to the activities of the union,"['additional information', 'accounting rule', 'article', 'internationally accept accounting practice', 'information', 'activity', 'union']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 243  Financial statements ,"The financial statements shall be presented in millions of euro and in accordance with the accounting rules referred to in Article 80 and shall be comprised of: (a) the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 December of the preceding financial year; (b) the statement of financial performance, which presents the economic result for the preceding financial year; (c) the cash-flow statement showing amounts collected and disbursed during the financial year and the final treasury position; (d) the statement of changes in net assets presenting an overview of the movements during the financial year in reserves and accumulated results. L 193/146  The notes to the financial statements shall supplement and comment on the information presented in the statements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting rules referred to in Article 80 and the internationally accepted accounting practice where such information is relevant to the activities of the Union. The notes shall contain at least the following information: (a) accounting principles, rules and methods; (b) explanatory notes supplying additional information not contained in the body of the financial statements, which is necessary for a fair presentation of the accounts. The accounting officer shall, after the close of the financial year and up to the date of transmission of the general accounts, make any adjustments which, without involving disbursement or collection in respect of that year, are necessary for a true and fair view of those accounts. S e c t i o n 2 B u d g e t i m p l e m e n t a t i o n r e p o r t s"
information,be,relevant to the activities of the union where,"['activity', 'union']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 243  Financial statements ,"The financial statements shall be presented in millions of euro and in accordance with the accounting rules referred to in Article 80 and shall be comprised of: (a) the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 December of the preceding financial year; (b) the statement of financial performance, which presents the economic result for the preceding financial year; (c) the cash-flow statement showing amounts collected and disbursed during the financial year and the final treasury position; (d) the statement of changes in net assets presenting an overview of the movements during the financial year in reserves and accumulated results. L 193/146  The notes to the financial statements shall supplement and comment on the information presented in the statements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting rules referred to in Article 80 and the internationally accepted accounting practice where such information is relevant to the activities of the Union. The notes shall contain at least the following information: (a) accounting principles, rules and methods; (b) explanatory notes supplying additional information not contained in the body of the financial statements, which is necessary for a fair presentation of the accounts. The accounting officer shall, after the close of the financial year and up to the date of transmission of the general accounts, make any adjustments which, without involving disbursement or collection in respect of that year, are necessary for a true and fair view of those accounts. S e c t i o n 2 B u d g e t i m p l e m e n t a t i o n r e p o r t s"
note financial statement,contain,at least the following information:,['follow information'],TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 243  Financial statements ,"The financial statements shall be presented in millions of euro and in accordance with the accounting rules referred to in Article 80 and shall be comprised of: (a) the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 December of the preceding financial year; (b) the statement of financial performance, which presents the economic result for the preceding financial year; (c) the cash-flow statement showing amounts collected and disbursed during the financial year and the final treasury position; (d) the statement of changes in net assets presenting an overview of the movements during the financial year in reserves and accumulated results. L 193/146  The notes to the financial statements shall supplement and comment on the information presented in the statements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting rules referred to in Article 80 and the internationally accepted accounting practice where such information is relevant to the activities of the Union. The notes shall contain at least the following information: (a) accounting principles, rules and methods; (b) explanatory notes supplying additional information not contained in the body of the financial statements, which is necessary for a fair presentation of the accounts. The accounting officer shall, after the close of the financial year and up to the date of transmission of the general accounts, make any adjustments which, without involving disbursement or collection in respect of that year, are necessary for a true and fair view of those accounts. S e c t i o n 2 B u d g e t i m p l e m e n t a t i o n r e p o r t s"
accounting officer,shall,after the close of the preceding financial year and up to the date of transmission of the general accounts,"['close', 'precede financial year', 'date', 'transmission', 'general account']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 243  Financial statements ,"The financial statements shall be presented in millions of euro and in accordance with the accounting rules referred to in Article 80 and shall be comprised of: (a) the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 December of the preceding financial year; (b) the statement of financial performance, which presents the economic result for the preceding financial year; (c) the cash-flow statement showing amounts collected and disbursed during the financial year and the final treasury position; (d) the statement of changes in net assets presenting an overview of the movements during the financial year in reserves and accumulated results. L 193/146  The notes to the financial statements shall supplement and comment on the information presented in the statements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting rules referred to in Article 80 and the internationally accepted accounting practice where such information is relevant to the activities of the Union. The notes shall contain at least the following information: (a) accounting principles, rules and methods; (b) explanatory notes supplying additional information not contained in the body of the financial statements, which is necessary for a fair presentation of the accounts. The accounting officer shall, after the close of the financial year and up to the date of transmission of the general accounts, make any adjustments which, without involving disbursement or collection in respect of that year, are necessary for a true and fair view of those accounts. S e c t i o n 2 B u d g e t i m p l e m e n t a t i o n r e p o r t s"
budget implementation report,present,in millions of euro,"['million', 'euro']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 244  Budget implementation reports ,"The budget implementation reports shall be presented in millions of euro and shall be comparable year by year. They shall consist of: (a) reports which aggregate all budgetary operations for the financial year in terms of revenue and expenditure; (b) the budget result, which is calculated on the basis of the annual budgetary balance referred to in Decision 2014/335/EU, Euratom; (c) explanatory notes, which shall supplement and comment on the information given in the reports. The structure of the budget implementation reports shall be the same as that of the budget itself. The budget implementation reports shall contain: (a) information on revenue, in particular changes in the revenue estimates, the revenue outturn and entitlements established; (b) information showing changes in the total commitment and payment appropriations available; (c) information showing the use made of the total commitment and payment appropriations available; (d) information showing commitments outstanding, those carried over from the preceding financial year and those made during the financial year. As regards information on revenue, a statement shall be attached to the budget implementation report showing, for each Member State, the breakdown of amounts of own resources still to be recovered at the end of the financial year and covered by a recovery order. S e c t i o n 3 A n n u a l a c c o u n t s t i m e t a b l e"
