Head,Relation,Original Tail,Tail Noun Chunks,Title,Article,Original Article Text
european parliament council,inform,the court of auditors as soon as possible of all decisions and rules adopted pursuant to articles 12 16 21 29 30 32 and 43,"['court', 'auditor', 'decision', 'rule', 'article']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 254  External audit by the Court of Auditors ,"The European Parliament, the Council and the Commission shall inform the Court of Auditors, as soon as possible, of all decisions and rules adopted pursuant to Articles 12, 16, 21, 29, 30, 32 and 43."
expenditure,incur,in a lawful and proper manner,['lawful proper manner'],TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 255  Rules and procedure on the audit ,"The examination by the Court of Auditors of whether all revenue has been received and all expenditure incurred in a lawful and proper manner shall have regard to the Treaties, the budget, this Regulation, the delegated acts adopted pursuant to this Regulation and all other relevant acts adopted pursuant to the Treaties. That examination may take account of the multiannual character of programmes and related supervisory and control systems. In the performance of its task, the Court of Auditors shall be entitled to consult, in the manner provided for in Article 257, all documents and information relating to the financial management by departments or bodies with regard to operations financed or co-financed by the Union. It shall have the power to hear any official responsible for a revenue or expenditure operation and to use any of the auditing procedures appropriate to those departments or bodies. The audit in Member States shall be carried out in liaison with the national audit institutions or, where they do not have the necessary powers, with the competent national departments. The Court of Auditors and the national audit institutions of Member States shall cooperate in a spirit of trust while maintaining their independence. In order to obtain all the necessary information for the performance of the task entrusted to it by the Treaties or by acts adopted pursuant to them, the Court of Auditors may be present, at its request, during the audit operations carried out within the framework of budget implementation by, or on behalf of, any Union institution. At the request of the Court of Auditors, each Union institution shall authorise financial institutions holding Union deposits to enable the Court of Auditors to ensure that external data tally with the accounts. In order to perform its task, the Court of Auditors shall notify Union institutions and the authorities to which this Regulation applies of the names of the members of its staff who are empowered to audit them."
relevant act,adopt,pursuant to the treaties,['treaty'],TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 255  Rules and procedure on the audit ,"The examination by the Court of Auditors of whether all revenue has been received and all expenditure incurred in a lawful and proper manner shall have regard to the Treaties, the budget, this Regulation, the delegated acts adopted pursuant to this Regulation and all other relevant acts adopted pursuant to the Treaties. That examination may take account of the multiannual character of programmes and related supervisory and control systems. In the performance of its task, the Court of Auditors shall be entitled to consult, in the manner provided for in Article 257, all documents and information relating to the financial management by departments or bodies with regard to operations financed or co-financed by the Union. It shall have the power to hear any official responsible for a revenue or expenditure operation and to use any of the auditing procedures appropriate to those departments or bodies. The audit in Member States shall be carried out in liaison with the national audit institutions or, where they do not have the necessary powers, with the competent national departments. The Court of Auditors and the national audit institutions of Member States shall cooperate in a spirit of trust while maintaining their independence. In order to obtain all the necessary information for the performance of the task entrusted to it by the Treaties or by acts adopted pursuant to them, the Court of Auditors may be present, at its request, during the audit operations carried out within the framework of budget implementation by, or on behalf of, any Union institution. At the request of the Court of Auditors, each Union institution shall authorise financial institutions holding Union deposits to enable the Court of Auditors to ensure that external data tally with the accounts. In order to perform its task, the Court of Auditors shall notify Union institutions and the authorities to which this Regulation applies of the names of the members of its staff who are empowered to audit them."
court auditor,entitle,to consult in the manner provided for in article 257 all documents and information relating to the financial management by departments or bodies with regard to operations financed or cofinanced by the union in the performance of its task,"['manner', 'article', 'document', 'information', 'financial management', 'department', 'body', 'regard', 'operation', 'union', 'performance', 'task']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 255  Rules and procedure on the audit ,"The examination by the Court of Auditors of whether all revenue has been received and all expenditure incurred in a lawful and proper manner shall have regard to the Treaties, the budget, this Regulation, the delegated acts adopted pursuant to this Regulation and all other relevant acts adopted pursuant to the Treaties. That examination may take account of the multiannual character of programmes and related supervisory and control systems. In the performance of its task, the Court of Auditors shall be entitled to consult, in the manner provided for in Article 257, all documents and information relating to the financial management by departments or bodies with regard to operations financed or co-financed by the Union. It shall have the power to hear any official responsible for a revenue or expenditure operation and to use any of the auditing procedures appropriate to those departments or bodies. The audit in Member States shall be carried out in liaison with the national audit institutions or, where they do not have the necessary powers, with the competent national departments. The Court of Auditors and the national audit institutions of Member States shall cooperate in a spirit of trust while maintaining their independence. In order to obtain all the necessary information for the performance of the task entrusted to it by the Treaties or by acts adopted pursuant to them, the Court of Auditors may be present, at its request, during the audit operations carried out within the framework of budget implementation by, or on behalf of, any Union institution. At the request of the Court of Auditors, each Union institution shall authorise financial institutions holding Union deposits to enable the Court of Auditors to ensure that external data tally with the accounts. In order to perform its task, the Court of Auditors shall notify Union institutions and the authorities to which this Regulation applies of the names of the members of its staff who are empowered to audit them."
audit member state,carry,in liaison with the national audit institutions or,"['liaison', 'national audit institution']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 255  Rules and procedure on the audit ,"The examination by the Court of Auditors of whether all revenue has been received and all expenditure incurred in a lawful and proper manner shall have regard to the Treaties, the budget, this Regulation, the delegated acts adopted pursuant to this Regulation and all other relevant acts adopted pursuant to the Treaties. That examination may take account of the multiannual character of programmes and related supervisory and control systems. In the performance of its task, the Court of Auditors shall be entitled to consult, in the manner provided for in Article 257, all documents and information relating to the financial management by departments or bodies with regard to operations financed or co-financed by the Union. It shall have the power to hear any official responsible for a revenue or expenditure operation and to use any of the auditing procedures appropriate to those departments or bodies. The audit in Member States shall be carried out in liaison with the national audit institutions or, where they do not have the necessary powers, with the competent national departments. The Court of Auditors and the national audit institutions of Member States shall cooperate in a spirit of trust while maintaining their independence. In order to obtain all the necessary information for the performance of the task entrusted to it by the Treaties or by acts adopted pursuant to them, the Court of Auditors may be present, at its request, during the audit operations carried out within the framework of budget implementation by, or on behalf of, any Union institution. At the request of the Court of Auditors, each Union institution shall authorise financial institutions holding Union deposits to enable the Court of Auditors to ensure that external data tally with the accounts. In order to perform its task, the Court of Auditors shall notify Union institutions and the authorities to which this Regulation applies of the names of the members of its staff who are empowered to audit them."
audit member state,have,the necessary powers with the competent national departments where,"['necessary power', 'competent national department']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 255  Rules and procedure on the audit ,"The examination by the Court of Auditors of whether all revenue has been received and all expenditure incurred in a lawful and proper manner shall have regard to the Treaties, the budget, this Regulation, the delegated acts adopted pursuant to this Regulation and all other relevant acts adopted pursuant to the Treaties. That examination may take account of the multiannual character of programmes and related supervisory and control systems. In the performance of its task, the Court of Auditors shall be entitled to consult, in the manner provided for in Article 257, all documents and information relating to the financial management by departments or bodies with regard to operations financed or co-financed by the Union. It shall have the power to hear any official responsible for a revenue or expenditure operation and to use any of the auditing procedures appropriate to those departments or bodies. The audit in Member States shall be carried out in liaison with the national audit institutions or, where they do not have the necessary powers, with the competent national departments. The Court of Auditors and the national audit institutions of Member States shall cooperate in a spirit of trust while maintaining their independence. In order to obtain all the necessary information for the performance of the task entrusted to it by the Treaties or by acts adopted pursuant to them, the Court of Auditors may be present, at its request, during the audit operations carried out within the framework of budget implementation by, or on behalf of, any Union institution. At the request of the Court of Auditors, each Union institution shall authorise financial institutions holding Union deposits to enable the Court of Auditors to ensure that external data tally with the accounts. In order to perform its task, the Court of Auditors shall notify Union institutions and the authorities to which this Regulation applies of the names of the members of its staff who are empowered to audit them."
court auditor,cooperate,in a spirit of trust,"['spirit', 'trust']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 255  Rules and procedure on the audit ,"The examination by the Court of Auditors of whether all revenue has been received and all expenditure incurred in a lawful and proper manner shall have regard to the Treaties, the budget, this Regulation, the delegated acts adopted pursuant to this Regulation and all other relevant acts adopted pursuant to the Treaties. That examination may take account of the multiannual character of programmes and related supervisory and control systems. In the performance of its task, the Court of Auditors shall be entitled to consult, in the manner provided for in Article 257, all documents and information relating to the financial management by departments or bodies with regard to operations financed or co-financed by the Union. It shall have the power to hear any official responsible for a revenue or expenditure operation and to use any of the auditing procedures appropriate to those departments or bodies. The audit in Member States shall be carried out in liaison with the national audit institutions or, where they do not have the necessary powers, with the competent national departments. The Court of Auditors and the national audit institutions of Member States shall cooperate in a spirit of trust while maintaining their independence. In order to obtain all the necessary information for the performance of the task entrusted to it by the Treaties or by acts adopted pursuant to them, the Court of Auditors may be present, at its request, during the audit operations carried out within the framework of budget implementation by, or on behalf of, any Union institution. At the request of the Court of Auditors, each Union institution shall authorise financial institutions holding Union deposits to enable the Court of Auditors to ensure that external data tally with the accounts. In order to perform its task, the Court of Auditors shall notify Union institutions and the authorities to which this Regulation applies of the names of the members of its staff who are empowered to audit them."
court auditor,maintain,the court of auditors,"['court', 'auditor']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 255  Rules and procedure on the audit ,"The examination by the Court of Auditors of whether all revenue has been received and all expenditure incurred in a lawful and proper manner shall have regard to the Treaties, the budget, this Regulation, the delegated acts adopted pursuant to this Regulation and all other relevant acts adopted pursuant to the Treaties. That examination may take account of the multiannual character of programmes and related supervisory and control systems. In the performance of its task, the Court of Auditors shall be entitled to consult, in the manner provided for in Article 257, all documents and information relating to the financial management by departments or bodies with regard to operations financed or co-financed by the Union. It shall have the power to hear any official responsible for a revenue or expenditure operation and to use any of the auditing procedures appropriate to those departments or bodies. The audit in Member States shall be carried out in liaison with the national audit institutions or, where they do not have the necessary powers, with the competent national departments. The Court of Auditors and the national audit institutions of Member States shall cooperate in a spirit of trust while maintaining their independence. In order to obtain all the necessary information for the performance of the task entrusted to it by the Treaties or by acts adopted pursuant to them, the Court of Auditors may be present, at its request, during the audit operations carried out within the framework of budget implementation by, or on behalf of, any Union institution. At the request of the Court of Auditors, each Union institution shall authorise financial institutions holding Union deposits to enable the Court of Auditors to ensure that external data tally with the accounts. In order to perform its task, the Court of Auditors shall notify Union institutions and the authorities to which this Regulation applies of the names of the members of its staff who are empowered to audit them."
court auditor,be,present at the court of auditors in order to obtain all the necessary information for the performance of the task entrusted to it by the treaties or by acts adopted pursuant to the performance of the task entrusted to it by the treaties or by acts adopted pursuant to them,"['court', 'auditor', 'order', 'necessary information', 'performance', 'task', 'treaty', 'act', 'performance', 'task', 'treaty', 'act']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 255  Rules and procedure on the audit ,"The examination by the Court of Auditors of whether all revenue has been received and all expenditure incurred in a lawful and proper manner shall have regard to the Treaties, the budget, this Regulation, the delegated acts adopted pursuant to this Regulation and all other relevant acts adopted pursuant to the Treaties. That examination may take account of the multiannual character of programmes and related supervisory and control systems. In the performance of its task, the Court of Auditors shall be entitled to consult, in the manner provided for in Article 257, all documents and information relating to the financial management by departments or bodies with regard to operations financed or co-financed by the Union. It shall have the power to hear any official responsible for a revenue or expenditure operation and to use any of the auditing procedures appropriate to those departments or bodies. The audit in Member States shall be carried out in liaison with the national audit institutions or, where they do not have the necessary powers, with the competent national departments. The Court of Auditors and the national audit institutions of Member States shall cooperate in a spirit of trust while maintaining their independence. In order to obtain all the necessary information for the performance of the task entrusted to it by the Treaties or by acts adopted pursuant to them, the Court of Auditors may be present, at its request, during the audit operations carried out within the framework of budget implementation by, or on behalf of, any Union institution. At the request of the Court of Auditors, each Union institution shall authorise financial institutions holding Union deposits to enable the Court of Auditors to ensure that external data tally with the accounts. In order to perform its task, the Court of Auditors shall notify Union institutions and the authorities to which this Regulation applies of the names of the members of its staff who are empowered to audit them."
court auditor,request,during the audit operations carried out within the framework of budget implementation by or on behalf of any union institution,"['audit operation', 'framework', 'budget implementation', 'behalf', 'union institution']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 255  Rules and procedure on the audit ,"The examination by the Court of Auditors of whether all revenue has been received and all expenditure incurred in a lawful and proper manner shall have regard to the Treaties, the budget, this Regulation, the delegated acts adopted pursuant to this Regulation and all other relevant acts adopted pursuant to the Treaties. That examination may take account of the multiannual character of programmes and related supervisory and control systems. In the performance of its task, the Court of Auditors shall be entitled to consult, in the manner provided for in Article 257, all documents and information relating to the financial management by departments or bodies with regard to operations financed or co-financed by the Union. It shall have the power to hear any official responsible for a revenue or expenditure operation and to use any of the auditing procedures appropriate to those departments or bodies. The audit in Member States shall be carried out in liaison with the national audit institutions or, where they do not have the necessary powers, with the competent national departments. The Court of Auditors and the national audit institutions of Member States shall cooperate in a spirit of trust while maintaining their independence. In order to obtain all the necessary information for the performance of the task entrusted to it by the Treaties or by acts adopted pursuant to them, the Court of Auditors may be present, at its request, during the audit operations carried out within the framework of budget implementation by, or on behalf of, any Union institution. At the request of the Court of Auditors, each Union institution shall authorise financial institutions holding Union deposits to enable the Court of Auditors to ensure that external data tally with the accounts. In order to perform its task, the Court of Auditors shall notify Union institutions and the authorities to which this Regulation applies of the names of the members of its staff who are empowered to audit them."
